id,date,likes,comments,reposts,views
15301,2025-08-06 21:16:00,97,0,4,2495
15295,2025-08-05 18:16:00,118,0,3,2215
15292,2025-08-04 14:16:00,235,0,10,4320
15289,2025-08-03 03:16:00,772,1,23,14239
15286,2025-08-02 10:16:00,469,3,9,7568
15285,2025-08-01 19:16:00,798,2,17,12463
15284,2025-07-31 13:16:00,859,0,30,16050
15282,2025-07-30 16:16:00,625,1,16,10154
15281,2025-07-29 08:16:00,957,0,30,17366
15280,2025-07-28 07:16:00,610,0,13,14290
15277,2025-07-27 17:16:00,785,0,19,13872
15269,2025-07-26 11:16:00,698,6,21,12316
15252,2025-07-25 12:16:00,1129,1,29,18726
15247,2025-07-24 20:16:00,749,0,20,14486
15243,2025-07-23 15:16:00,744,3,20,12312
15237,2025-07-22 19:16:00,1237,2,32,21121
15236,2025-07-21 09:16:00,798,6,23,11907
15225,2025-07-18 04:16:00,720,1,28,14075
15220,2025-07-17 13:16:00,606,3,18,11106
15216,2025-07-16 00:16:00,945,2,37,15464
15212,2025-07-15 06:16:00,842,0,14,13280
15209,2025-07-14 15:16:00,688,2,15,10863
15203,2025-07-13 08:16:00,759,1,16,10320
15200,2025-07-12 16:16:00,912,1,28,11477
15196,2025-07-11 11:16:00,1061,1,36,12293
15191,2025-07-10 07:16:00,686,0,13,8233
15186,2025-07-09 12:16:00,966,1,20,9762
15185,2025-07-08 20:16:00,894,2,13,9411
15181,2025-07-07 06:16:00,706,5,20,8788
15180,2025-07-06 13:16:00,805,1,23,8392
15179,2025-07-05 18:16:00,621,0,21,7253
15178,2025-07-04 11:16:00,554,0,14,6407
15176,2025-07-03 02:16:00,964,0,31,11892
15175,2025-07-02 15:16:00,402,0,10,5697
15165,2025-07-01 09:16:00,770,1,20,9987
15160,2025-06-29 10:16:00,724,1,20,9373
15157,2025-06-28 20:16:00,618,1,10,7444
15151,2025-06-27 04:16:00,412,0,13,6024
15147,2025-06-26 14:16:00,585,0,13,7444
15145,2025-06-25 17:16:00,1179,3,27,13154
15144,2025-06-24 12:16:00,813,0,22,10393
15139,2025-06-23 00:16:00,346,0,12,7167
15138,2025-06-22 08:16:00,565,0,17,10066
15136,2025-06-21 15:16:00,687,3,10,9289
15133,2025-06-20 19:16:00,884,0,20,10139
15129,2025-06-19 09:16:00,954,1,27,10820
15125,2025-06-18 02:16:00,564,1,8,7486
15123,2025-06-17 15:16:00,648,2,15,9348
15121,2025-06-16 10:16:00,596,1,18,10104
15117,2025-06-15 13:16:00,622,0,16,10315
15105,2025-06-14 17:16:00,583,1,10,9480
15101,2025-06-13 08:16:00,722,1,24,9295
15099,2025-06-12 12:16:00,820,0,23,11380
15090,2025-06-11 16:16:00,327,0,6,6234
15088,2025-06-11 06:16:00,524,1,9,7503
15083,2025-06-10 19:16:00,623,1,12,8400
